name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,H,neo,pha,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,G,moid,class,n,per,ma
,3.038918246008128,0.069094163259196,9.948161913510583,217.4084065387949,95.63756991034047,2.828946732587093,3.248889759429164,5.29769226668501,10333.0,0,480,14.6,N,N,4.232,,0.171,,,,,,,,,1.83752,MBA,0.1860482326551416,1934.982100406698,226.2419353519707
,2.781802934600736,0.2006056078575526,9.233482205114678,19.6774725999038,164.0544804715082,2.223757665965232,3.339848203236241,4.63978379426249,7498.0,0.0,588,15.1,N,N,5.093,,0.068,,,,,,,,,1.22752,MBA,0.2124293559942108,1694.681030854374,97.86438629401763
,2.532656531847788,0.1509507514279007,7.307952785998325,152.8476715428276,256.6277956575137,2.150350125256583,2.914962938438992,4.03062734704207,10256.0,0,1172,14.4,N,N,4.27,,0.202,,,,,,,,,1.17367,MBA,0.2445342122959772,1472.186638507116,135.6808055974112
,2.694442930548224,0.1495874145810358,10.80469373267985,310.4485538589072,298.6157386691623,2.291388178831366,3.097497682265083,4.42294650328363,17099.0,0,1393,13.7,N,N,5.227,,0.281,,,,,,,,,1.29956,MBA,0.2228438174949258,1615.481210324344,347.7653406533267
,2.648999973894478,0.1993765571451068,13.51150844728381,45.36015989477352,277.9525831103182,2.120851479221919,3.177148468567037,4.31152723002039,7630.0,0,836,14.2,N,N,4.387,,0.11,,,,,,,,,1.15932,MBA,0.2286025880817401,1574.785320764947,308.6869880190773
Shakura,2.233993657802623,0.1370494464819135,7.819878530824392,0.6533783041483093,20.36215881615118,1.927826063556669,2.540161252048578,3.33911292020846,16363.0,0,1722,14.1,N,N,3.451,,0.448,,,,,,,,,0.93091,MBA,0.295176086260067,1219.61099410614,73.49043612708427
,3.129271982941192,0.1034638248607574,14.10007343471503,3.387065872964095,68.4529050401681,2.805505534556489,3.453038431325895,5.53570795257598,7071.0,0,156,15.7,N,N,3.967,,,,,,,,,,,1.85499,MBA,0.1780488226278098,2021.917329678376,253.0758145391468
,2.594359226844362,0.1647733622287833,14.66767868665263,165.5993311658152,181.6014048320252,2.16687793420795,3.021840519480774,4.17881714360889,7685.0,0,1334,13.7,N,N,4.895,,0.268,,,,,,,,,1.15914,MBA,0.2358625059426156,1526.312961703148,13.54866549031611
,2.292253384579798,0.068204112272508,8.038697580618425,101.4721483833728,79.6413410409953,2.135912277380881,2.448594491778715,3.47058061138512,23597.0,0,1185,15.0,N,N,3.423,,0.137,,,,,,,,,1.15691,MBA,0.2839946377082395,1267.629568308414,134.4291656736739
,2.309342873111544,0.2563901262129127,22.49001807226442,323.1977629172818,120.6602543452769,1.717250162405584,2.901435583817503,3.50946430697386,3482.0,0,79,17.3,N,N,2.301,,0.033,,,,,,,,,0.818779,MBA,0.2808480717153788,1281.831838122202,89.34545041539798
